2023-03-22 15:56:46,299 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] ServletWebServerApplicationContext.java:292 - Root WebApplicationContext: initialization completed in 884 ms
2023-03-22 15:56:46,707 [restartedMain] WARN  [o.s.b.d.autoconfigure.OptionalLiveReloadServer] OptionalLiveReloadServer.java:62 - Unable to start LiveReload server
2023-03-22 15:56:46,707 [restartedMain] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] EndpointLinksResolver.java:58 - Exposing 15 endpoint(s) beneath base path '/manage'
2023-03-22 15:56:46,722 [restartedMain] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Starting ProtocolHandler ["http-nio-8098"]
2023-03-22 15:56:46,738 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:220 - Tomcat started on port(s): 8098 (http) with context path ''
2023-03-22 15:56:46,753 [restartedMain] INFO  [c.s.x.s.SpringBootAdminClientApplication] StartupInfoLogger.java:61 - Started SpringBootAdminClientApplication in 1.807 seconds (JVM running for 2.541)
2023-03-22 15:56:46,832 [registrationTask1] INFO  [d.c.b.a.client.registration.ApplicationRegistrator] DefaultApplicationRegistrator.java:82 - Application registered itself as ed6d38626fba
2023-03-22 15:56:46,848 [http-nio-8098-exec-1] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-22 15:56:46,848 [http-nio-8098-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:525 - Initializing Servlet 'dispatcherServlet'
2023-03-22 15:56:46,848 [http-nio-8098-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:547 - Completed initialization in 0 ms
2023-03-22 16:04:38,787 [registrationTask1] WARN  [d.c.b.a.client.registration.ApplicationRegistrator] DefaultApplicationRegistrator.java:91 - Failed to register application as Application(name=true, managementUrl=http://shenlx-pc:8098/manage, healthUrl=http://shenlx-pc:8098/manage/health, serviceUrl=http://shenlx-pc:8098/) at spring-boot-admin ([http://127.0.0.1:8097/instances]): I/O error on POST request for "http://127.0.0.1:8097/instances": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect. Further attempts are logged on DEBUG level
